Date,Time,"Radiation
 (MJ/m2)","Temperature
 (deg C)",Dew point(deg C),Humidity,Wind speed,Atmospheric pressure (kPa),"Vapour 
pressureÂ  (kPa)",Soil moisture (%)
1/6/2022,0:00,0,28,25.0,84%,4.0,100.9,0.611,0.3597777778
,1:00,0,28,25.0,84%,2.0,100.8,0.611,0.3764545455
,2:00,0,28,24.0,79%,2.0,100.8,0.611,0.3781
,3:00,0,28,24.0,79%,4.0,100.7,0.611,0.3822
,4:00,0,27,24.1,84%,0.0,100.7,0.611,0.3847142857
,5:00,0,27,24.1,84%,4.0,100.7,0.611,0.393875
,6:00,0.003,27,24.1,84%,4.0,100.7,0.611,0.4054444444
,7:00,0.205,27,24.1,84%,0.0,100.7,0.611,0.4222857143
,8:00,0.807,29,25.0,79%,7.0,100.8,0.611,0.4443
,9:00,0.851,31,23.9,66%,11.0,100.9,0.611,0.4522222222
,10:00,0.744,30,23.0,66%,9.0,100.9,0.611,0.3551428571
,11:00,1.797,28,24.0,79%,9.0,100.9,0.611,0.2975
,12:00,1.019,30,23.9,70%,11.0,100.9,0.611,0.313
,13:00,0.919,31,23.9,66%,13.0,100.8,0.611,0.30525
,14:00,1.084,31,23.1,62%,7.0,100.8,0.611,0.305
,15:00,1.179,32,25.1,67%,6.0,100.7,0.611,0.3058
,16:00,0.696,31,23.1,62%,9.0,100.6,0.611,0.3114
,17:00,0.542,31,23.1,62%,4.0,100.6,0.611,0.3064
,18:00,0.149,31,20.9,55%,6.0,100.6,0.611,0.30025
,19:00,0.002,30,23.0,66%,4.0,100.6,0.611,0.3118888889
,20:00,0,29,25.0,79%,2.0,100.7,0.611,0.3185555556
,21:00,0,28,25.0,84%,7.0,100.7,0.611,0.2967142857
,22:00,0,28,25.0,84%,7.0,100.8,0.611,0.314
,23:00,0,28,25.0,84%,2.0,100.8,0.611,0.309875
2/6/2022,0:00,0,28,25.0,84%,0.0,100.8,0.611,0.307
,1:00,0,27,25.0,89%,6.0,100.9,0.611,0.310375
,2:00,0,27,25.0,89%,6.0,100.8,0.611,0.3076666667
,3:00,0,28,25.0,84%,4.0,100.8,0.611,0.3065714286
,4:00,0,27,25.0,89%,0.0,100.7,0.611,0.3202222222
,5:00,0,27,25.0,89%,0.0,100.7,0.611,0.3125
,6:00,0.002,27,25.0,89%,4.0,100.8,0.611,0.3152222222
,7:00,0.242,27,26.0,94%,14.8,100.8,0.611,0.316
,8:00,0.232,27,23.0,79%,19.0,100.9,0.611,0.3182
,9:00,0.737,27,24.1,84%,11.0,101.0,0.611,0.319625
,10:00,1.765,29,23.0,70%,13.0,101.0,0.611,0.3162222222
,11:00,2.764,31,22.1,59%,11.0,101.0,0.611,0.320625
,12:00,1.244,33,22.2,52%,13.0,100.9,0.611,0.3225
,13:00,0.576,31,22.1,59%,15.0,100.9,0.611,0.321625
,14:00,0.672,30,23.0,66%,13.0,100.9,0.611,0.3143333333
,15:00,0.465,29,23.0,70%,17.0,100.8,0.611,0.318
,16:00,0.426,29,23.0,70%,11.0,100.7,0.611,0.3154
,17:00,0.192,28,24.0,79%,11.0,100.7,0.611,0.3241666667
,18:00,0.057,28,22.9,74%,7.0,100.8,0.611,0.3072727273
,19:00,0.001,28,22.9,74%,11.0,100.8,0.611,0.3073636364
,20:00,0,28,22.9,74%,11.0,100.9,0.611,0.3265
,21:00,0,28,22.9,74%,11.0,101.0,0.611,0.3104
,22:00,0,28,22.9,74%,13.0,101.0,0.611,0.3135555556
,23:00,0,28,24.0,79%,4.0,101.0,0.611,0.3206666667
3/6/2022,0:00,0,28,24.0,79%,2.0,101.1,0.611,0.3138888889
,1:00,0,27,24.1,84%,4.0,101.1,0.611,0.3075555556
,2:00,0,27,25.0,89%,2.0,101.0,0.611,0.3143333333
,3:00,0,27,25.0,89%,4.0,100.9,0.611,0.318
,4:00,0,27,25.0,89%,6.0,100.8,0.611,0.3185
,5:00,0,27,25.0,89%,2.0,100.8,0.611,0.31775
,6:00,0.001,27,25.0,89%,2.0,100.9,0.611,0.3293333333
,7:00,0.149,27,25.0,89%,14.8,100.9,0.611,0.3191666667
,8:00,0.027,27,23.0,89%,7.0,100.9,0.611,0.3262
,9:00,0.116,25,24.0,94%,7.0,101.0,0.611,0.3232222222
,10:00,0.226,25,24.0,94%,2.0,101.0,0.611,0.3245714286
,11:00,0.335,25,25.0,100%,7.0,101.0,0.611,0.32725
,12:00,1.625,26,25.0,94%,6.0,101.0,0.611,0.313
,13:00,2.578,28,24.0,79%,6.0,100.9,0.611,0.3274
,14:00,1.986,30,23.0,66%,6.0,100.9,0.611,0.3183333333
,15:00,1.112,30,21.9,62%,4.0,100.8,0.611,0.3265714286
,16:00,0.771,31,23.1,62%,9.0,100.8,0.611,0.3123333333
,17:00,0.459,30,21.9,62%,9.0,100.7,0.611,0.3124444444
,18:00,0.182,30,21.1,59%,6.0,100.7,0.611,0.323125
,19:00,0.003,29,23.0,70%,6.0,100.8,0.611,0.3213333333
,20:00,0,28,24.0,79%,4.0,100.9,0.611,0.3136666667
,21:00,0,28,24.0,79%,2.0,100.9,0.611,0.33
,22:00,0,27,25.0,89%,2.0,101.0,0.611,0.326
,23:00,0,27,25.0,89%,0.0,101.0,0.611,0.3221428571
4/6/2022,0:00,0,26,25.0,94%,0.0,101.0,0.611,0.3298888889
,1:00,0,26,24.0,89%,0.0,101.0,0.611,0.3189090909
,2:00,0,26,24.0,89%,2.0,100.9,0.611,0.332
,3:00,0,26,24.0,89%,2.0,100.9,0.611,0.328
,4:00,0,26,25.0,94%,2.0,100.9,0.611,0.3227142857
,5:00,0,26,25.0,94%,0.0,100.9,0.611,0.3276666667
,6:00,0.003,26,25.0,94%,19.0,100.9,0.611,0.3285
,7:00,0.033,26,22.1,79%,19.0,101.0,0.611,0.3288
,8:00,0.333,25,24.0,94%,4.0,101.1,0.611,0.329
,9:00,0.674,25,24.0,94%,4.0,101.2,0.611,0.3381818182
,10:00,2.327,25,24.0,94%,7.0,101.1,0.611,0.3344285714
,11:00,3.157,28,22.9,74%,7.0,101.1,0.611,0.329625
,12:00,3.257,32,22.1,55%,7.0,101.0,0.611,0.331
,13:00,1.969,32,23.0,59%,13.0,100.9,0.611,0.3253333333
,14:00,3.14,31,22.1,59%,13.0,100.9,0.611,0.324
,15:00,2.581,32,23.0,59%,11.0,100.8,0.611,0.3305
,16:00,1.907,31,23.1,62%,7.0,100.7,0.611,0.3246
,17:00,0.394,32,23.0,59%,7.0,100.7,0.611,0.3246
,18:00,0.258,31,23.1,62%,6.0,100.7,0.611,0.324125
,19:00,0.003,30,21.9,62%,7.0,100.8,0.611,0.324125
,20:00,0,30,23.9,70%,9.0,100.8,0.611,0.332125
,21:00,0,29,24.1,74%,7.0,100.9,0.611,0.3217777778
,22:00,0,29,24.1,74%,2.0,101.0,0.611,0.3311818182
,23:00,0,28,22.9,74%,4.0,101.0,0.611,0.3495714286
5/6/2022,0:00,0,28,24.0,79%,2.0,101.0,0.611,0.3415714286
,1:00,0,27,24.1,84%,2.0,101.0,0.611,0.342
,2:00,0,27,24.1,84%,4.0,100.9,0.611,0.34875
,3:00,0,27,24.1,84%,2.0,100.9,0.611,0.3361111111
,4:00,0,27,25.0,89%,0.0,100.9,0.611,0.341375
,5:00,0,27,25.0,89%,2.0,100.8,0.611,0.3465555556
,6:00,0.003,27,25.0,89%,0.0,100.9,0.611,0.3497142857
,7:00,0.318,26,25.0,94%,1.8,100.9,0.611,0.33475
,8:00,1.069,30,25.1,75%,11.0,101.0,0.611,0.3446
,9:00,1.597,30,23.9,70%,15.0,101.0,0.611,0.345
,10:00,2.254,31,23.1,62%,15.0,101.0,0.611,0.3502857143
,11:00,2.722,31,24.5,62%,19.0,101.0,0.611,0.33625
,12:00,1.952,32,23.0,59%,19.0,100.9,0.611,0.3454
,13:00,2.038,31,23.9,66%,11.0,100.9,0.611,0.3531428571
,14:00,1.207,30,23.0,66%,13.0,100.9,0.611,0.3508888889
,15:00,0.817,30,23.0,66%,13.0,100.8,0.611,0.349
,16:00,0.168,27,22.9,84%,4.0,100.8,0.611,0.3457777778
,17:00,0.242,25,24.0,94%,6.0,100.8,0.611,0.3514
,18:00,0.116,26,24.0,89%,6.0,100.8,0.611,0.353875
,19:00,0.006,27,24.1,84%,6.0,100.8,0.611,0.363375
,20:00,0.002,27,25.0,89%,0.0,100.9,0.611,0.356125
,21:00,0.002,26,25.0,94%,0.0,100.9,0.611,0.3568
,22:00,0.002,26,25.0,94%,2.0,100.9,0.611,0.3641111111
,23:00,0,26,24.0,89%,0.0,101.0,0.611,0.377
6/6/2022,0:00,0.001,26,25.0,94%,6.0,101.0,0.611,0.363
,1:00,0,26,25.0,94%,6.0,100.9,0.611,0.365
,2:00,0,26,25.0,94%,4.0,100.9,0.611,0.3612857143
,3:00,0,26,25.0,94%,2.0,100.8,0.611,0.3759
,4:00,0,26,25.0,94%,2.0,100.8,0.611,0.365625
,5:00,0.001,26,25.0,94%,0.0,100.8,0.611,0.3795
,6:00,0.002,26,25.0,94%,2.0,100.8,0.611,0.387625
,7:00,0.084,26,25.0,94%,11.2,100.9,0.611,0.3967
,8:00,0.593,26,22.1,79%,7.0,100.9,0.611,0.4065555556
,9:00,1.457,26,25.0,94%,15.0,100.9,0.611,0.4305714286
,10:00,2.285,28,24.0,79%,20.0,101.0,0.611,0.4555
,11:00,2.835,30,23.9,70%,17.0,101.0,0.611,0.4781111111
,12:00,2.88,31,23.1,62%,17.0,100.9,0.611,0.47875
,13:00,1.867,31,20.9,55%,11.0,100.8,0.611,0.48325
,14:00,1.8,31,25.1,70%,17.0,100.8,0.611,0.4783
,15:00,1.453,30,23.9,70%,13.0,100.7,0.611,0.3888
,16:00,1.727,31,22.1,59%,13.0,100.7,0.611,0.3297142857
,17:00,0.706,31,23.1,62%,15.0,100.6,0.611,0.3365
,18:00,0.078,30,21.9,62%,6.0,100.6,0.611,0.3411818182
,19:00,0.003,30,23.0,66%,7.0,100.7,0.611,0.3445714286
,20:00,0,29,24.1,74%,9.0,100.7,0.611,0.3405833333
,21:00,0,29,24.1,74%,7.0,100.8,0.611,0.343
,22:00,0,28,24.0,79%,6.0,100.8,0.611,0.335625
,23:00,0,28,24.0,79%,6.0,100.9,0.611,0.353
7/6/2022,0:00,0,28,24.0,79%,9.0,100.9,0.611,0.34775
,1:00,0,28,25.0,84%,4.0,100.9,0.611,0.344
,2:00,0,27,25.0,89%,0.0,100.8,0.611,0.35225
,3:00,0,27,25.0,89%,0.0,100.7,0.611,0.3566666667
,4:00,0,27,25.0,89%,4.0,100.7,0.611,0.3610833333
,5:00,0.001,27,25.0,89%,4.0,100.7,0.611,0.373
,6:00,0.001,27,25.0,89%,4.0,100.8,0.611,0.3592
,7:00,0.077,27,25.0,89%,0.0,100.8,0.611,0.3555
,8:00,0.455,27,25.0,89%,6.0,100.9,0.611,0.3705
,9:00,0.643,28,25.0,84%,9.0,101.0,0.611,0.3646666667
,10:00,0.788,27,24.1,84%,0.0,101.0,0.611,0.3808333333
,11:00,0.466,26,25.0,94%,9.0,101.0,0.611,0.374
,12:00,0.625,27,24.1,84%,4.0,101.0,0.611,0.3504444444
,13:00,0.884,27,24.1,84%,6.0,100.9,0.611,0.3154285714
,14:00,0.278,28,25.0,84%,7.0,100.9,0.611,0.3192
,15:00,0.552,28,24.0,79%,6.0,100.8,0.611,0.3218888889
,16:00,1.051,28,24.0,79%,4.0,100.7,0.611,0.314
,17:00,0.802,30,25.1,75%,7.0,100.7,0.611,0.3256
,18:00,0.335,29,25.0,79%,4.0,100.7,0.611,0.3172222222
,19:00,0.003,28,24.0,79%,6.0,100.7,0.611,0.3233333333
,20:00,0,27,25.0,89%,4.0,100.8,0.611,0.3171428571
,21:00,0,27,25.0,89%,0.0,100.9,0.611,0.3217
,22:00,0,27,25.0,89%,0.0,100.9,0.611,0.3194444444
,23:00,0,26,25.0,94%,0.0,101.0,0.611,0.3257777778
8/6/2022,0:00,0,26,25.0,94%,0.0,101.0,0.611,0.32425
,1:00,0,26,25.0,94%,0.0,101.0,0.611,0.33125
,2:00,0,26,25.0,94%,0.0,100.9,0.611,0.3263
,3:00,0,26,25.0,94%,0.0,100.8,0.611,0.3245555556
,4:00,0,26,25.0,94%,2.0,100.8,0.611,0.3295
,5:00,0,26,25.0,94%,0.0,100.8,0.611,0.3299
,6:19,0.001,26,24.0,89%,2.0,100.9,0.611,0.3381111111
,7:00,0.198,26,25.0,94%,5.4,100.9,0.611,0.327
,8:00,0.862,27,25.0,89%,11.0,100.9,0.611,0.3217
,9:00,1.633,29,24.1,74%,11.0,101.0,0.611,0.3303333333
,10:00,2.378,30,21.9,62%,9.0,101.0,0.611,0.32925
,11:00,2.752,32,22.1,55%,7.0,101.0,0.611,0.325
,12:00,3.027,32,22.1,55%,11.0,100.9,0.611,0.3185555556
,13:00,3.263,33,22.2,52%,13.0,100.8,0.611,0.3182222222
,14:00,3.018,33,20.9,49%,19.0,100.8,0.611,0.3194444444
,15:00,1.437,32,23.0,59%,11.0,100.7,0.611,0.3284166667
,16:00,0.792,31,22.1,59%,7.0,100.6,0.611,0.3182
,17:00,0.149,29,24.1,74%,11.0,100.6,0.611,0.3254
,18:00,0.045,28,22.0,70%,9.0,100.6,0.611,0.3265
,19:00,0.006,27,25.0,89%,2.0,100.7,0.611,0.3225714286
,20:00,0.001,26,25.0,94%,4.0,100.8,0.611,0.3316666667
,21:00,0.006,27,25.0,89%,15.0,100.9,0.611,0.3282
,22:00,0.003,26,23.1,84%,7.0,101.0,0.611,0.3460909091
,23:00,0.001,26,22.1,79%,0.0,101.0,0.611,0.3344444444
9/6/2022,0:00,0.002,25,23.1,89%,0.0,101.0,0.611,0.3272727273
,1:00,0,25,23.1,89%,6.0,101.0,0.611,0.3272222222
,2:00,0.001,26,23.1,84%,4.0,100.9,0.611,0.333375
,3:00,0,26,23.1,84%,4.0,100.8,0.611,0.3416
,4:00,0,26,24.0,89%,4.0,100.8,0.611,0.342
,5:00,0,25,24.0,94%,4.0,100.8,0.611,0.3335454545
,6:00,0.001,26,24.0,89%,0.0,100.8,0.611,0.33875
,7:00,0.211,25,24.0,94%,5.4,100.9,0.611,0.3327
,8:00,0.818,27,24.1,84%,6.0,100.9,0.611,0.3333
,9:00,0.904,29,24.1,74%,7.0,100.9,0.611,0.341
,10:00,1.349,29,23.0,70%,6.0,101.0,0.611,0.3394615385
,11:00,1.469,30,23.9,70%,7.0,101.0,0.611,0.3467777778
,12:00,1.256,31,23.9,66%,9.0,101.0,0.611,0.3394285714
,13:00,1.305,31,23.9,66%,11.0,100.9,0.611,0.34525
,14:00,1.374,30,23.9,70%,11.0,100.9,0.611,0.346
,15:00,0.811,30,23.0,66%,26.0,100.8,0.611,0.346
,16:00,0.732,29,22.0,66%,7.0,100.7,0.611,0.3408571429
,17:00,0.19,27,23.0,79%,7.0,100.7,0.611,0.347
,18:00,0.032,27,25.0,89%,6.0,100.8,0.611,0.3481
,19:00,0.003,26,24.0,89%,4.0,100.9,0.611,0.3557142857
,20:00,0.001,26,25.0,94%,2.0,100.9,0.611,0.3458571429
,21:00,0.001,26,25.0,94%,0.0,101.0,0.611,0.352375
,22:00,0.005,26,25.0,94%,0.0,101.0,0.611,0.3577777778
,23:00,0.004,26,25.0,94%,4.0,101.0,0.611,0.36625
10/6/2022,0:00,0.007,26,25.0,94%,2.0,101.0,0.611,0.3498
,1:00,0.004,26,25.0,94%,4.0,101.0,0.611,0.3557777778
,2:00,0.002,26,25.0,94%,6.0,100.9,0.611,0.3578888889
,3:00,0.001,26,25.0,94%,7.6,100.8,0.611,0.3703333333
,4:00,0.001,27,24.1,84%,9.0,100.8,0.611,0.3645555556
,5:00,0,27,24.1,84%,6.0,100.8,0.611,0.3770909091
,6:00,0.001,26,24.0,89%,0.0,100.8,0.611,0.3774444444
,7:00,0.154,25,24.0,94%,0.0,100.8,0.611,0.361
,8:00,0.898,25,25.0,94%,9.0,100.9,0.611,0.35325
,9:00,1.338,28,24.0,79%,6.0,100.9,0.611,0.3501428571
,10:00,2.45,30,23.9,70%,6.0,101.0,0.611,0.3512857143
,11:00,1.942,30,23.9,70%,9.0,101.0,0.611,0.3427777778
,12:00,2.152,32,23.0,59%,6.0,100.9,0.611,0.3518571429
,13:00,1.448,31,23.9,66%,6.0,100.8,0.611,0.35575
,14:00,1.368,33,23.1,56%,7.0,100.8,0.611,0.3508181818
,15:00,2.13,32,24.1,63%,11.0,100.7,0.611,0.3486666667
,16:00,1.545,32,24.1,63%,17.0,100.6,0.611,0.3519090909
,17:00,0.262,31,23.1,62%,13.0,100.6,0.611,0.3516
,18:00,0.024,31,20.0,52%,7.0,100.7,0.611,0.3529
,19:00,0,27,23.0,79%,4.0,100.7,0.611,0.3538333333
,20:00,0,27,23.0,79%,2.0,100.7,0.611,0.3666363636
,21:00,0,26,23.1,84%,0.0,100.8,0.611,0.3591
,22:00,0.001,27,24.1,84%,4.0,100.9,0.611,0.3637272727
,23:00,0.002,27,24.1,84%,11.0,101.0,0.611,0.3719
11/6/2022,0:00,0,27,24.1,84%,7.0,101.0,0.611,0.362
,1:00,0,27,24.1,84%,11.0,101.0,0.611,0.368
,2:00,0,26,24.0,89%,6.0,100.9,0.611,0.3797272727
,3:00,0,23,23.0,100%,4.0,100.9,0.611,0.37575
,4:00,0.002,24,23.0,94%,2.0,100.8,0.611,0.37925
,5:00,0.005,24,23.0,94%,2.0,100.8,0.611,0.3929
,6:00,0.007,24,24.0,100%,4.0,100.9,0.611,0.3960909091
,7:00,0.169,24,24.0,100%,1.8,100.9,0.611,0.3446363636
,8:00,0.795,25,24.0,94%,4.0,101.0,0.611,0.3278571429
,9:00,1.236,27,24.1,84%,9.0,101.1,0.611,0.3134444444
,10:00,2.106,29,24.1,74%,13.0,101.1,0.611,0.2751428571
,11:00,2.547,30,23.9,70%,11.0,101.0,0.611,0.282
,12:00,2.808,30,23.9,70%,11.0,101.0,0.611,0.2756666667
,13:00,1.391,31,23.1,62%,15.0,100.9,0.611,0.2826
,14:00,0.491,32,23.0,59%,19.0,100.8,0.611,0.285
,15:00,0.354,30,23.1,66%,11.0,100.8,0.611,0.2794285714
,16:00,0.358,30,21.1,59%,11.0,100.7,0.611,0.2828571429
,17:00,0.236,30,21.9,62%,11.0,100.8,0.611,0.281
,18:00,0.105,28,24.0,79%,9.0,100.8,0.611,0.2802857143
,19:00,0.001,28,24.0,79%,6.0,100.8,0.611,0.2844
,20:00,0,28,24.0,79%,7.0,100.9,0.611,0.2854285714
,21:00,0,28,24.0,79%,7.0,101.0,0.611,0.2822222222
,22:00,0.001,28,24.0,79%,9.4,101.1,0.611,0.286
,23:00,0,28,24.0,79%,11.0,101.1,0.611,0.2874285714
12/6/2022,0:00,0,27,23.0,79%,4.0,101.1,0.611,0.2865
,1:00,0,27,23.0,79%,7.0,101.1,0.611,0.2865
,2:00,0,27,23.0,79%,7.0,101.0,0.611,0.283625
,3:00,0,27,23.0,79%,7.0,100.9,0.611,0.2875
,4:00,0,26,23.1,84%,7.0,100.9,0.611,0.288
,5:00,0,26,23.1,84%,7.0,100.9,0.611,0.2898571429
,6:00,0.001,26,22.1,79%,4.0,100.9,0.611,0.2911428571
,7:00,0.121,26,22.1,79%,3.6,100.9,0.611,0.285125
,8:00,0.482,27,23.0,79%,7.0,101.0,0.611,0.2882
,9:00,0.887,28,22.9,74%,15.0,101.1,0.611,0.2907272727
,10:00,0.815,29,23.0,70%,9.0,101.1,0.611,0.2906666667
,11:00,0.817,29,23.0,70%,13.0,101.1,0.611,0.2892
,12:00,0.82,28,22.0,70%,11.0,101.1,0.611,0.2921428571
,13:00,1.358,29,22.0,66%,11.0,101.1,0.611,0.2914444444
,14:00,1.237,30,23.9,70%,15.0,101.0,0.611,0.29525
,15:00,1.031,29,21.0,62%,9.0,100.9,0.611,0.288
,16:00,0.701,29,21.0,62%,6.0,100.8,0.611,0.297
,17:00,0.308,29,22.0,66%,4.0,100.8,0.611,0.2838
,18:00,0.094,29,23.0,70%,0.0,100.9,0.611,0.295875
,19:00,0.001,28,24.0,79%,2.0,100.9,0.611,0.289
,20:00,0,28,24.0,79%,2.0,101.0,0.611,0.2896666667
,21:00,0,27,24.1,84%,0.0,101.0,0.611,0.2909090909
,22:00,0.001,27,25.0,89%,9.0,101.1,0.611,0.289125
,23:00,0,27,27.0,84%,2.0,101.1,0.611,0.2965
13/6/2022,0:00,0,28,24.0,79%,2.0,101.0,0.611,0.2925555556
,1:00,0,27,24.1,84%,4.0,101.0,0.611,0.2974444444
,2:00,0,27,24.1,84%,4.0,100.9,0.611,0.2931111111
,3:00,0,27,25.0,89%,2.0,100.8,0.611,0.2932857143
,4:00,0,26,25.0,94%,2.0,100.8,0.611,0.300625
,5:00,0,26,24.0,89%,6.0,100.9,0.611,0.2933333333
,6:00,0.001,26,24.0,89%,9.0,100.9,0.611,0.2994
